Station,Season,Layer,Ensemble Mean,CFSR,ERA-Interim,ERA5,ERA5-Land,JRA55,MERRA2,GLDAS-Noah,GLDAS-CLSM
-6.139814516129032,Cold_Top,0cm - 30cm,-19.242477416992188,-22.466552734375,-29.55477905273437,-16.452728271484375,-6.02557373046875,-26.05291748046875,-13.7698974609375,-18.81243896484375,-20.804931640625
-8.594267857142857,Cold_Top,0cm - 30cm,-18.19671630859375,-20.721267700195312,-28.806640625,-16.2822265625,-6.261962890625,-21.57759094238281,-14.819244384765625,-17.61376953125,-19.49102783203125
-10.09520564516129,Cold_Top,0cm - 30cm,-19.093185424804688,-21.757888793945312,-31.222564697265625,-18.457672119140625,-6.923065185546875,-20.57026672363281,-15.9498291015625,-18.192642211914066,-19.671600341796875
-8.055341666666669,Cold_Top,0cm - 30cm,-14.414886474609375,-14.3760986328125,-24.611297607421875,-17.890945434570312,-5.992828369140625,-8.919097900390625,-12.640411376953125,-15.92816162109375,-14.960296630859375
-3.7347096774193553,Cold_Top,0cm - 30cm,-5.58648681640625,-6.05389404296875,-8.526153564453125,-8.35406494140625,-2.5906982421875,-1.933319091796875,-3.96527099609375,-9.661041259765623,-3.607421875
-3.3662394265232973,Cold_Top,0cm - 30cm,-7.07684326171875,-5.785675048828125,-8.035888671875,-7.494232177734375,-3.42852783203125,-10.641204833984377,-3.17852783203125,-9.29632568359375,-8.754364013671875
-2.369584629629629,Cold_Top,0cm - 30cm,-8.500518798828125,-8.6922607421875,-12.602935791015625,-7.538909912109375,-3.639312744140625,-15.78826904296875,-3.5753173828125,-9.273040771484377,-6.894195556640625
-4.692058422939068,Cold_Top,0cm - 30cm,-13.10821533203125,-16.787078857421875,-21.201919555664066,-8.31939697265625,-4.083587646484375,-25.06967163085937,-6.95989990234375,-10.93292236328125,-11.511138916015625
-6.761623476702508,Cold_Top,0cm - 30cm,-13.212371826171875,-8.043701171875,-24.56584167480469,-9.75079345703125,-4.893585205078125,-19.612594604492188,-11.016754150390623,-12.810150146484375,-15.005462646484375
-7.1682339285714285,Cold_Top,0cm - 30cm,-13.819580078125,-8.03326416015625,-25.260513305664066,-10.6744384765625,-5.15130615234375,-19.9730224609375,-12.625396728515625,-13.207489013671875,-15.631103515625
-8.499938351254482,Cold_Top,0cm - 30cm,-13.85333251953125,-8.296173095703125,-27.1719970703125,-12.350494384765625,-5.15264892578125,-15.775390625,-13.22735595703125,-13.599365234375,-15.2532958984375
-8.906610370370371,Cold_Top,0cm - 30cm,-13.8974609375,-10.4351806640625,-25.850250244140625,-13.73681640625,-5.390960693359375,-14.28057861328125,-12.62786865234375,-14.206634521484375,-14.651397705078125
-1.9355109856630823,Cold_Top,0cm - 30cm,-6.12060546875,-5.816009521484375,-5.68060302734375,-6.27911376953125,-2.026885986328125,-10.504180908203123,-1.8758544921875,-9.104248046875,-7.677947998046875
-2.7268225740740744,Cold_Top,0cm - 30cm,-10.927642822265623,-7.905548095703125,-19.3035888671875,-8.971893310546875,-3.202667236328125,-23.843765258789066,-4.20416259765625,-10.78436279296875,-9.205108642578123
-3.8414094982078857,Cold_Top,0cm - 30cm,-12.37451171875,-9.1175537109375,-22.15596008300781,-9.940032958984377,-4.0042724609375,-22.420135498046875,-7.51641845703125,-10.981658935546877,-12.860076904296875
-6.6313998207885305,Cold_Top,0cm - 30cm,-17.152084350585938,-15.456451416015625,-31.70793151855469,-12.480712890625,-4.77459716796875,-30.609893798828125,-12.445220947265625,-13.3883056640625,-16.353607177734375
-7.2814649425287366,Cold_Top,0cm - 30cm,-16.180206298828125,-15.56756591796875,-29.74481201171875,-12.169403076171875,-4.771759033203125,-21.22821044921875,-14.303314208984375,-14.174530029296875,-17.4820556640625
-8.643500000000001,Cold_Top,0cm - 30cm,-14.50506591796875,-14.622314453125,-25.987060546875,-15.778472900390625,-4.927734375,-10.501739501953123,-13.49969482421875,-15.0400390625,-15.683502197265625
-3.3996534731182795,Cold_Top,0cm - 30cm,-7.2410888671875,-8.435577392578125,-12.1595458984375,-8.564666748046875,-2.90625,-4.410064697265625,-5.946075439453125,-10.265350341796877,-5.241180419921875
-0.2845313620071684,Cold_Top,0cm - 30cm,-3.667999267578125,-3.2139892578125,-3.105743408203125,-3.64166259765625,-1.20166015625,-7.524658203125,-1.649566650390625,-5.43609619140625,-3.570526123046875
-0.7786781481481482,Cold_Top,0cm - 30cm,-9.644256591796877,-7.86578369140625,-16.548492431640625,-6.298980712890625,-2.063385009765625,-20.846023559570312,-4.01678466796875,-10.21307373046875,-9.301605224609377
-1.6961570788530465,Cold_Top,0cm - 30cm,-14.724365234375,-12.336822509765625,-24.7532958984375,-7.58306884765625,-3.68670654296875,-24.83653259277344,-10.425689697265623,-15.025848388671875,-19.146881103515625
-3.5234049283154127,Cold_Top,0cm - 30cm,-15.044036865234375,-12.242431640625,-25.102279663085934,-8.38983154296875,-4.46160888671875,-23.297332763671875,-12.54937744140625,-14.3902587890625,-19.91925048828125
-7.241514583333331,Cold_Top,0cm - 30cm,-17.484100341796875,-13.845611572265625,-30.094940185546875,-10.764404296875,-5.118804931640625,-26.76971435546875,-15.499176025390625,-16.04302978515625,-21.73712158203125
-7.572906093189964,Cold_Top,0cm - 30cm,-16.352447509765625,-12.961029052734375,-29.33244323730469,-12.346466064453125,-5.138824462890625,-19.299392700195312,-15.383880615234375,-15.917327880859375,-20.440216064453125
-7.390131666666668,Cold_Top,0cm - 30cm,-15.389892578125,-12.941436767578125,-26.420425415039066,-12.652984619140625,-5.01080322265625,-15.87725830078125,-14.85369873046875,-16.231781005859375,-19.13075256347656
-4.244800448028674,Cold_Top,0cm - 30cm,-9.26519775390625,-9.563934326171877,-15.05938720703125,-9.8876953125,-3.94757080078125,-5.945526123046875,-9.811065673828123,-11.395294189453125,-8.511199951171875
-0.4659677419354838,Cold_Top,0cm - 30cm,-5.4664306640625,-4.8074951171875,-5.286529541015625,-2.220489501953125,-2.65362548828125,-13.144927978515625,-2.256317138671875,-6.4608154296875,-6.901214599609375
-1.7141111111111107,Cold_Top,0cm - 30cm,-9.569122314453123,-11.183837890625,-12.8878173828125,-3.91900634765625,-5.486236572265625,-17.266799926757812,-6.26568603515625,-8.07220458984375,-11.471466064453125
